City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,nome,64.5011,-165.4064,-16.96,60,0,7.2,US,1674456728
84,yaan,7.3833,8.5667,24.63,45,61,1.91,NG,1674456728
85,sao miguel do araguaia,-13.275,-50.1628,21.03,95,100,1.41,BR,1674456728
86,suez,29.9737,32.5263,15.63,77,0,4.28,EG,1674456693
87,avarua,-21.2078,-159.775,24.03,94,20,1.03,CK,1674456729
88,xining,36.6167,101.7667,0.28,11,0,11.8,CN,1674456729
89,atuona,-9.8,-139.0333,26.19,79,85,9.87,PF,1674456729
90,menongue,-14.6585,17.691,17.06,98,100,2.53,AO,1674456730
91,ulu-telyak,54.9086,56.9669,-12.39,93,98,1.19,RU,1674456730
92,chuy,-33.6971,-53.4616,19.71,80,100,1.1,UY,1674456730
93,harper,4.375,-7.7169,26.15,82,91,4.12,LR,1674456731
94,bredasdorp,-34.5322,20.0403,23.92,64,6,1.22,ZA,1674456731
95,bluff,-46.6,168.3333,13.76,59,9,3.87,NZ,1674456732
96,macenta,8.5435,-9.471,18.3,97,10,0.36,GN,1674456732
97,igarka,67.4667,86.5833,-26.18,90,22,3.69,RU,1674456733
98,faanui,-16.4833,-151.75,26.48,68,100,2.74,PF,1674456734
99,orel-izumrud,43.4583,39.9244,5.01,70,0,5.0,RU,1674456734
100,presidencia roque saenz pena,-26.7852,-60.4388,23.12,47,10,2.39,AR,1674456734
101,kanata,45.3159,-75.8985,-1.9,93,100,2.57,CA,1674456735
102,iqaluit,63.7506,-68.5145,-24.15,77,40,3.09,CA,1674456735
103,ostrovnoy,68.0531,39.5131,-4.23,73,99,15.48,RU,1674456735
104,poya,-21.35,165.15,26.86,83,100,1.94,NC,1674456736
105,bambous virieux,-20.3428,57.7575,27.14,83,75,4.63,MU,1674456736
106,rawson,-43.3002,-65.1023,15.47,72,10,3.9,AR,1674456736
107,djenne,13.9061,-4.5533,21.86,16,5,3.11,ML,1674456737
108,port elizabeth,-33.918,25.5701,25.17,88,75,2.57,ZA,1674456737
109,zhangye,38.9342,100.4517,-12.21,37,16,4.93,CN,1674456738
110,bethal,-26.4579,29.4655,20.86,23,4,4.12,ZA,1674456738
